Filename            Interpreter(avg)    Interpreter(disp)   Compiler(avg)       Compiler(disp)      Without Caching(avg)Without Caching(disp)
chupcko.ps                    (1 ,2427.400  )          3.0                 (1 ,1107.400   )         6.8                 (1 ,1328.800   )         6.2
bubbles.ps                    (2 ,10929.000 )          12.8                (2 ,4396.333   )         14.4                (2 ,5401.400   )         15.5
henon.ps                      (3 ,12622.200 )          0.7                 (3 ,11977.200  )         1.7                 (3 ,12017.200  )         1.2
mandelbrotset.ps              (4 ,26260.200 )          0.4                 (4 ,16120.400  )         1.4                 (4 ,22025.000  )         1.3
FractalByAlunJones.ps         (5 ,60040.400 )          0.0                 (5 ,60041.000  )         0.0                 (5 ,60050.000  )         0.0
FractalByAlunJones2.ps        (6 ,60001.333 )          0.0                 (6 ,60003.000  )         0.0                 (6 ,60003.133  )         0.0
julia.ps                      (7 ,123845.533)          2.0                 (7 ,80351.400  )         4.2                 (7 ,96437.600  )         0.6
psRay.ps                      (8 ,150695.667)          0.5                 (8 ,1577780.133)         2.1                 (8 ,1760612.533)         11.7
mandel.ps                     (9 ,176550.333)          0.2                 (9 ,97100.400  )         2.3                 (9 ,119486.667 )         0.6
z1dca.ps                      (10,323739.133)          0.6                 (10,255973.533 )         1.3                 (10,271925.000 )         1.0
